"glm_scores","glm_class","rf_scores","rf_class","xgbTree_scores","xgbTree_class","nnet_scores","nnet_class"
"0.771027454807302","Good","0.622","Good","0.580034762620926","Bad","0.699002505459971","Good"
"0.978951742607475","Good","0.804","Good","0.923968598246574","Good","0.792826726963168","Good"
"0.897644260420753","Good","0.904","Good","0.857622742652893","Good","0.852802003626275","Good"
"0.47638883236147","Bad","0.382","Bad","0.169782161712646","Bad","0.566165897084382","Bad"
"0.422453271015688","Bad","0.576","Bad","0.694178521633148","Good","0.4210866664671","Bad"
"0.54891882219216","Bad","0.646","Good","0.75320728123188","Good","0.492359045819793","Bad"
"0.968670575006898","Good","0.932","Good","0.95709727704525","Good","0.946613260977275","Good"
"0.979580546099327","Good","0.988","Good","0.967846151441336","Good","0.929159984555666","Good"
"0.924508566504341","Good","0.866","Good","0.782449677586555","Good","0.938503380879323","Good"
"0.405716333352626","Bad","0.568","Bad","0.425171554088593","Bad","0.432587773495517","Bad"
"0.378405678586046","Bad","0.342","Bad","0.24672132730484","Bad","0.456644345538648","Bad"
"0.528897278211436","Bad","0.64","Good","0.637422233819962","Good","0.518246181472606","Bad"
"0.998661099292139","Good","0.936","Good","0.921440705657005","Good","0.978340615100885","Good"
"0.724718961355692","Good","0.616","Good","0.825211107730865","Good","0.685649507910611","Good"
"0.406641887115666","Bad","0.66","Good","0.765527322888374","Good","0.440066593294006","Bad"
"0.897220454576786","Good","0.888","Good","0.945776797831059","Good","0.793670713930237","Good"
"0.329391642862126","Bad","0.266","Bad","0.415105521678925","Bad","0.388375382904673","Bad"
"0.664949359221749","Good","0.792","Good","0.860045164823532","Good","0.685011257938036","Good"
"0.990707089388539","Good","0.92","Good","0.845797479152679","Good","0.976458628424457","Good"
"0.824591599169819","Good","0.848","Good","0.878260232508183","Good","0.879629524370466","Good"
"0.763574162109619","Good","0.764","Good","0.845899820327759","Good","0.867951256688577","Good"
"0.971900791643867","Good","0.904","Good","0.986230114474893","Good","0.952635620976407","Good"
"0.92740708931699","Good","0.914","Good","0.956417847424746","Good","0.895462650685222","Good"
"0.990667120653313","Good","0.988","Good","0.996710474370047","Good","0.971737367535694","Good"
"0.582349100701386","Bad","0.408","Bad","0.369823932647705","Bad","0.571700794752696","Bad"
"0.855164401205949","Good","0.96","Good","0.950821850448847","Good","0.819725310355281","Good"
"0.857820302574339","Good","0.944","Good","0.972833031788468","Good","0.831386826230992","Good"
"0.486793172990693","Bad","0.522","Bad","0.45775580406189","Bad","0.486824679371356","Bad"
"0.801623096372121","Good","0.78","Good","0.682255357503891","Good","0.841540678761478","Good"
"0.256044672545903","Bad","0.256","Bad","0.526380509138107","Bad","0.342362909640261","Bad"
"0.505807825523078","Bad","0.644","Good","0.526003837585449","Bad","0.502597540499922","Bad"
"0.483372193506202","Bad","0.556","Bad","0.577056795358658","Bad","0.558690171353893","Bad"
"0.95588872002308","Good","0.936","Good","0.959796976298094","Good","0.884123419425961","Good"
"0.790631805399702","Good","0.862","Good","0.800454348325729","Good","0.748792161676795","Good"
"0.782682225250818","Good","0.604","Good","0.685544401407242","Good","0.74598979316464","Good"
"0.928449106005591","Good","0.88","Good","0.920497409999371","Good","0.91651853464375","Good"
"0.955938054537837","Good","0.924","Good","0.976016854867339","Good","0.930113086028311","Good"
"0.97778455978163","Good","0.946","Good","0.981218861415982","Good","0.961951545701192","Good"
"0.966535093771965","Good","0.942","Good","0.953832976520061","Good","0.933877526892509","Good"
"0.749166436562471","Good","0.866","Good","0.882801949977875","Good","0.720200334996244","Good"
"0.841848995160477","Good","0.676","Good","0.578334867954254","Bad","0.710449789298756","Good"
"0.784456656796853","Good","0.696","Good","0.718274503946304","Good","0.717063235238039","Good"
"0.781942447437835","Good","0.728","Good","0.765532329678535","Good","0.751218507776204","Good"
"0.73647950126239","Good","0.736","Good","0.790259763598442","Good","0.712762176539361","Good"
"0.91781691006145","Good","0.836","Good","0.799637824296951","Good","0.904118728602109","Good"
"0.587388063663609","Bad","0.594","Good","0.501142919063568","Bad","0.58720654535932","Bad"
"0.662814459212422","Good","0.52","Bad","0.471145033836365","Bad","0.584512225882692","Bad"
"0.639654906602929","Good","0.514","Bad","0.757597833871841","Good","0.651439924407548","Good"
"0.351753299712214","Bad","0.344","Bad","0.327231824398041","Bad","0.360186771363436","Bad"
"0.864090842489201","Good","0.882","Good","0.908683851361275","Good","0.761505116048559","Good"
"0.847105758397416","Good","0.8","Good","0.926323600113392","Good","0.839484266915904","Good"
"0.442102892454511","Bad","0.34","Bad","0.179759383201599","Bad","0.483698524403372","Bad"
"0.575605350793685","Bad","0.482","Bad","0.585905700922012","Bad","0.57692854630869","Bad"
"0.984579827619002","Good","0.972","Good","0.961890932172537","Good","0.96349826994578","Good"
"0.869460291957994","Good","0.824","Good","0.917099758982658","Good","0.821440541920443","Good"
"0.54528622715764","Bad","0.434","Bad","0.37571781873703","Bad","0.606613479166619","Good"
"0.916906712326797","Good","0.838","Good","0.893884494900703","Good","0.90174755366936","Good"
"0.962722509216628","Good","0.886","Good","0.86542621254921","Good","0.832617910982623","Good"
"0.394707302716736","Bad","0.328","Bad","0.218226850032806","Bad","0.367837177624791","Bad"
"0.463958678288593","Bad","0.542","Bad","0.714714199304581","Good","0.443386725354923","Bad"
"0.409243759902484","Bad","0.26","Bad","0.238122344017029","Bad","0.404416996058994","Bad"
"0.525920948322084","Bad","0.724","Good","0.765683010220528","Good","0.742682682480768","Good"
"0.948119049790019","Good","0.97","Good","0.976739540696144","Good","0.802058757928094","Good"
"0.959696995072457","Good","0.858","Good","0.954600688070059","Good","0.854027872164985","Good"
"0.633451354902585","Good","0.598","Good","0.897327244281769","Good","0.60138369472615","Good"
"0.801163371092504","Good","0.778","Good","0.631353735923767","Good","0.71232708977538","Good"
"0.936525014637307","Good","0.706","Good","0.802135765552521","Good","0.900720109500138","Good"
"0.220322689101282","Bad","0.048","Bad","0.219481825828552","Bad","0.274970413365165","Bad"
"0.702537779053629","Good","0.694","Good","0.927280075848103","Good","0.718788695406839","Good"
"0.486233956652488","Bad","0.462","Bad","0.501481592655182","Bad","0.434190486485101","Bad"
"0.619271927572428","Good","0.698","Good","0.501677244901657","Bad","0.629293407588554","Good"
"0.556396763498023","Bad","0.578","Bad","0.710908204317093","Good","0.666858330955691","Good"
"0.456195478569146","Bad","0.598","Good","0.740653991699219","Good","0.515992271514998","Bad"
"0.648245905605134","Good","0.834","Good","0.639974862337112","Good","0.737787411914696","Good"
"0.335425995748131","Bad","0.61","Good","0.250120759010315","Bad","0.423868174180478","Bad"
"0.15408897626713","Bad","0.24","Bad","0.280543744564056","Bad","0.216870712983826","Bad"
"0.810928326614607","Good","0.706","Good","0.879271000623703","Good","0.73201854029824","Good"
"0.972465823818565","Good","0.928","Good","0.988046703860164","Good","0.951229668895572","Good"
"0.84368813832689","Good","0.702","Good","0.787051945924759","Good","0.803789778693743","Good"
"0.5398255271908","Bad","0.798","Good","0.758811265230179","Good","0.67345480169972","Good"
"0.556239036777593","Bad","0.652","Good","0.71724346280098","Good","0.53363975055069","Bad"
"0.749919154309861","Good","0.462","Bad","0.416183412075043","Bad","0.598412670034611","Good"
"0.337912750779051","Bad","0.414","Bad","0.374017477035522","Bad","0.345352917919093","Bad"
"0.988409475330916","Good","0.962","Good","0.921360552310944","Good","0.968087235167121","Good"
"0.671650433518226","Good","0.724","Good","0.681980669498444","Good","0.710868898380919","Good"
"0.162033185987332","Bad","0.066","Bad","0.0470654964447021","Bad","0.250069378745888","Bad"
"0.763755202751496","Good","0.788","Good","0.898842334747314","Good","0.759075669933459","Good"
"0.793424647845796","Good","0.766","Good","0.896958589553833","Good","0.806861972768712","Good"
"0.972545371372263","Good","0.978","Good","0.982562679797411","Good","0.952741209493624","Good"
"0.991326728714369","Good","0.842","Good","0.967724345624447","Good","0.977294887898665","Good"
"0.896077526574834","Good","0.834","Good","0.927191942930222","Good","0.880808743367688","Good"
"0.500406192280407","Bad","0.782","Good","0.956447195261717","Good","0.712187554581867","Good"
"0.952348334549658","Good","0.872","Good","0.802394613623619","Good","0.903041433303758","Good"
"0.838138020382432","Good","0.832","Good","0.924999512732029","Good","0.77909728460919","Good"
"0.968290123882127","Good","0.932","Good","0.938401456922293","Good","0.951436152356853","Good"
"0.90103191875723","Good","0.848","Good","0.931451208889484","Good","0.889449298246595","Good"
"0.267527775267619","Bad","0.252","Bad","0.180554509162903","Bad","0.301789724122854","Bad"
"0.418907702412737","Bad","0.586","Bad","0.73042044043541","Good","0.476638133370674","Bad"
"0.861957766332571","Good","0.9","Good","0.838927507400513","Good","0.872879546451741","Good"
"0.213281309935185","Bad","0.314","Bad","0.287375748157501","Bad","0.3544322043572","Bad"
"0.996385432340216","Good","0.808","Good","0.927070669829845","Good","0.972197237810844","Good"
"0.630959784579573","Good","0.614","Good","0.783916845917702","Good","0.755989663548439","Good"
"0.283819141779796","Bad","0.332","Bad","0.209558844566345","Bad","0.346718692492296","Bad"
"0.986863936477756","Good","0.92","Good","0.945969071239233","Good","0.958046620871501","Good"
"0.788140477946315","Good","0.702","Good","0.661839067935944","Good","0.747782443557331","Good"
"0.978684427939672","Good","0.982","Good","0.978658864274621","Good","0.976880564498788","Good"
"0.890686523151864","Good","0.894","Good","0.922587335109711","Good","0.871332288136839","Good"
"0.247275317089565","Bad","0.364","Bad","0.568216532468796","Bad","0.296474941568697","Bad"
"0.77268772097013","Good","0.82","Good","0.772954329848289","Good","0.754018810467889","Good"
"0.184891436055242","Bad","0.208","Bad","0.108085155487061","Bad","0.247098437971599","Bad"
"0.640127599952037","Good","0.58","Bad","0.723198920488358","Good","0.702034331750822","Good"
